source,text,label
8,"Im Merz 58 zog er nach Naz. Hall, die Orgel daselbst zu bauen, gelangte auch indeßen wie der mit zum Genuß des leichnams und Blutes Jesu, zu seiner unbeschreibln. Freude, u. kam das folgende Jahr ins Nurserie- Haus zu wohnen, wo er an den kleinen Unmündigen manche Freude hatte, denn er war ein großer Kinder-Freund, pflegte auch zu sagen; Wenn er auch noch so viel hinterließe, so solte es vor nichts als Kinder angewendt werden;",positive
32,"Ich erinnerte mich gar ofte nachher an diesen erstmaligen Genuß des heil. Abendmahls, wie auch an das lezte Jahr welches ich so selig u. vergnügt im Kinderchore verbrachte.",positive
26,"In meinem 5ten Jahr starb meine Mutter, welcher Vorgang mir lustig und vergnüglich vorkam, besonders weil ich einen neuen Rock zum Begräbnis erhielt.",positive
19,Ich machte gleich darauf einen Besuch in Gnadenfrey.,neutral
5,"ich suchte mich auch gefällig zu machen und das gute Verständniß mit dem lieben Heiland hörte nach und nach auf: dagegen fand sich eine Furcht und Scheu bey mir ein, daß ich mich nicht mehr so kindlich zu Ihm wenden konnte.",negative
26,Meine Antwort war: tut was ihr wollt.,positive
26,"{NAME}, der auch zu Fuß durch die Lecha gegangen war, rief: “Bruder, ich bin fast tot!” Und ich mußte ihm von mir ein gleiches sagen, denn wir waren bis über den halben Leib durchnäßt und die Kleider waren gleich steif gefroren, daß wir kaum gehen konnten;",negative
27,"Als ich das erste Mal zum heiligen Abendmahl ging, kam mich Zittern und Beben an.",negative
28,Der selige Bruder {NAME} der Mohr hat von seinem Lauff folgendes aufsetzen lassen.,neutral
26,"Hierdurch bekamen wir auch einige Pferde und Kühe und es machte mir viel Vergnügen, die Plantage nun mit unserem eigenen Gespann bearbeiten zu können;",positive
20,"ich nahm mein Bund und 3-4-mal Muste aber allemal auf der Trebbe wieder um kehren, bis Endlich die Festtage vorbey waren, da alles Müth und Schäffrich ward,",negative
27,"Am 4. Januar 1744 wurden wir nebst noch 27 Geschwistern in die Gemeine aufgenommen und am 26. Mai desselben Jahresin, als das erste Abendmahl in der Kirche zu Marienborn gehalten wurde, hatte ich die Gnade, dasselbe zum ersten Mal mit der Gemeine zu genießen.",positive
26,"Als einem alten Missionario blieb ihm das Missionswerk immer eine Lieblingssache, die Er dem Heiland im Gebete fleißig und angelegentlich empfahl und bei der oftmaligen Zurückerinnerung an die ehemaligen gesegneten Zeiten bei der IndianerMission schmerzte es ihn um so mehr, daß es dermalen bei derselben nicht so geht, wie man es wünscht.",negative
26,"Es war eine Salbe, die er nach der Vorschrift anfertigte und auf mein Bein legte, wobei ich auch täglich drei Schuß Schießpulver einnehmen mußte.",negative
39,sie verstund noch alles u. antwortete auf befragen: ob sie jezt zum Hld: gehen würde? Ja!,neutral
26,"Nun hatte ich auch keine Ruhe mehr in meines Vater Huas, denn es hieß immer bei mir: du gehörst der Gemeine, in die du aufgenommen worden bist; nur wußte ich nicht, wie ich es anstellen sollte denn ich konnte mich nicht entschließen, heimlich von meinem Vater zu gehen.",negative
5,ich war sehr einfältig und grade mit allem was mir zu der Zeit klar wurde und was ich zusammen bringen konnte mich selbst anzuklagen.,negative
32,Doch wir schweigen —,neutral
39,"Meine Eltern verkauften ihr sehr schönes Gut mit großem Verlust, u. begaben sich vergnügt u. froh auf die Reise nach America.",positive
11,"Da wurde ich erweckt, gestund es dem Bruder von ganzem Herzen zu und fing an, mit dem lieben Heiland zu sprechen, bat Ihn herzlich, Er möchte mir doch aus Gnade meine Sünden vergeben; und kaum hatte ich Ihn so gebeten, so ist Er vor mein armes Herz getreten, und hat mir alle meine Sünden vergeben;",positive
4,"Der Schweiß von deinem Angesicht läst sie nicht kommen ins Gericht, p",negative
26,"Schönnbrunn, ein hübsches Örtchen, das erst seit 4 Jahren angelegt war, bestand nun schon aus 40 Häusern, ohne die Hütten, worin mal über 300 Indianer wohnten.",positive
8,"Ich habe es mir vom Herrn ausgebeten; und so geschahe es auch,",positive
2,"es gieng ihr wohl, und sie dachte oft mit Vergnügen daran wie selig sie der Heiland durch die Mädgen Jahre gebracht, bey ihrem sonst sehr lebhaften Wesen.",positive
28,"Am 13. abends verschied er sehr sanfte u. sein Ende zeigte, daß er geglaubt.",positive
15,Sie war von Kind auf unruhig und suchte ein frommes Leben zu führen.,negative
39,"Wir wurden am 21t Jun: vom Br: {NAME} getraut, wir und zogen bald darauf nach Heidelberg wo zur Bedienung des dortigen Gemeinleins, allwo unser treuer Heiland während der Kriegszeit u. in großer Armuth sechs t halb Jahre lang uns gnädigst beygestanden u. durchgeholfen hat.",positive
4,"{NAME} ihr Sohn war nicht zu Hauß, kam aber diese Nacht, und ging den Morgen drauf an die Delaware es dort seinen Freunden wißen zu laßen.",neutral
11,"Mein Bein, von Deinem Bein, mein Fleisch von Deinem Fleisch, möcht immer im Geräusch, der Leichnams- Lüfte seyn.",neutral
33,"ich muste also mit ihnen fort,",negative
19,Da ihn ein Bruder besuchte wurde er gefragt: ob er ihn sehe?,neutral
5,"So gewohnte ich nach und nach in diese neue Art selig zu seyn, und der liebe Heilige Geist war früh und spät mit mir beschäftiget, wie eine zärtliche Mutter mit ihrem Kinde thut, mich zu erinnern, zu warnen, zu trösten und absonderlich mir recht tief einzuprägen, daß all mein Wohlseyn und Glück, ein sauer erworbnes Gut sey, mit dem Blute Jesu Christi verdient und wie man seinen Schaz in irrdenen, ja in sündigen Gefä- ßen bewahren müße;",positive
11,"ich wurde es aber gewahr, und blieb 5 Tage und 5 Nächte da sitzen, und hielt ein rechte Herzens-Bande mit dem lieben Gott, und befahl mich Ihm ganz, denn den lieben Heiland kante ich damals noch nicht.",neutral
26,"Im November desselben Jahres (1742) wurde ich mit Br. {NAME} und dem älteren {NAME} mit 2 Wagen nach Braunschweig geschickt, um eine Gesellschaft Geschwister, die von Europa in New York angekommen und bereits nach Braunschweig unterwegs sein sollten, abzuholen.",neutral
9,Ich dencke der Heiland wird seine Schäflein selbst besuchen und weiden.,neutral
28,"sie sagten darauf; es sey kein beßerer Mann in Nyork als er,",positive
9,"Ich dencke auch viel an meine Freunde und Bekandten in Oley, Maguntsche und Maketanien.",neutral
13,Nun ist mein einiges Verlangen die Pflege meines guten Hirten täglich zu genießen und nie zu vergeßen daß Er mich armes und verirrtes Schäflein selbst aufgesucht und zu seiner Herde gebracht hat.,positive
37,"So warst du immerzu, Auf solch ein End bereit.",neutral
3,Am 29ten August des Jahres kam ich ins ledige Brüder Chor.,neutral
26,"Sobald wir Land erblickten, freute ich mich schon darauf recht laufen zu können, aber wie fand ich mich getäuscht, da ich beim ersten Schritt vor Entkräftung niederstürzte und garnicht fort konnte.",negative
19,"da ich wieder zu mir selber kam und mich besann, in was ich hinein gerathen war, schlug ich die Hände über meinen Kopf zusammen und sah mich nun aufs neue als eine verlorene Kreatur, am Rande der Hölle stehen,",negative
19,"mein Herz zerfloß dabey, in Thränen, denn sein Tod und Leiden hatte mir schon das Herz genommen,",negative
27,"Weil ich aber keinen Heiland hatte, so wurde nichts daraus.",negative
24,Seine manchmalige rauhe Art und Unsünderhaftigkeiten brachten ihn einige mal um den Genuß des heil.n Sacraments;,negative
5,"Sie hatte auch von da an wenig Ruhe mehr, bis am 27ten Mittags, da eine merckliche Veränderung mit Ihr vorging,",negative
32,"was mein armes Herz da genoß, wenn ich so alleine mit meinen Ungesehenen, mir aber sehr nahen Freunde so herzvertraulich Reden konnte, u. Ihm meine eigne Bedürfniße, die Angelegenheiten meines mir so lieben Chores u. jeder einzelnen Person, das Wohl u. Wehe der ganzen Br. Unität, der Heiden Posten, der erziehungs Anstalten, ja alles was Seine Gemeine u. ihre Claßen anbelangt, ans Herz legte, u. welchen reichen Segen ich davon geerntet habe; dazu fehlen mir Worte, mich nach Wunsch auszudrücken.",positive
5,Der Heiland half mir auf wundersame Weise bald ganz los und brachte mich wieder fröhlich und vergnügt nach meinem lieben Herrnhaag zurücke.,positive
5,Alle vorige Erfahrung vom Heiland war mir wie ganz genommen und ich sahe mich wie am Rande des Todes voll Furcht und Entsezen.,negative
26,"Auf der weiteren Reise, da mir der Weg bekannt war, nahm ich mir vor an einem bestimmten Ort zu übernachten;",positive
3,"bat auch den lieben Heiland oft, daß Er mich dahin bringen möchte und machte mit Bruder {NAME}, von dem ich wuste, daß er dahin wolte, aus, mich mitzunehmen, welches er mir auch versprach.",positive
33,"ich lag 8 tage und Nächte im schnee und allem Wetter im Busch, und bettet und seuftzete zum lieben Heiland Er solte mir helfen und rathen was ich thun solte,",negative
33,"er war ein sehr wilder u Böser Indianer,",negative
27,Habt Ihr das und das von ihnen gesehen?,neutral
26,"Ihm sei Lob, Preis und Dank gebracht!",positive
5,"gib uns nur daß in den Sterbenstagen jedes Herz dich so genießt, daß die Zeit in Deiner lieben Nähe froh und gnadenvoll vorüber gehe.",positive
3,Von da an nahmen micht die ledigen Brüder in besondere Pflege und Aufsicht.,positive
33,es war ihr nichts mehr übrig als dem lieben Heiland für ihre Gnadenwahl und daß Er sie zu der Gemeine gebracht zu Dancken,positive
1,"1759 da Sie am 4.ten May mit ins Jungfern Chor kam, machte Sie aufs Neue den Schlus in ihrem Herzen daß sie ganz vor den Heiland leben wolte.",neutral
13,"Ich blieb in meinem seligen Gang bis in mein 13tes Jahr, da fing ich an an der Welt und ihren Eitelkeiten mehr Vergnügen zu finden, obschon meine Tante mit bestmöglicher Sorgfalt mich davor zu warnen suchte.",negative
32,"Sie blieb aber dabey heiter u. vergnügt, besorgte auch ihre Geschäfte so viel möglich, bis Sie am vergangenen 25n. Febr. von einer großen Schwäche überfallen wurde, u. die Krankenstube beziehen mußte. Aber weder Sie noch wir glaubten, daß Sie ihrem Ende so nahe wäre.",negative
39,Bey der großen Erweckung im Würtenbergischener Lande wurden meine Eltern auch kräftig angefaßt.,neutral
7,ach ja! ein solcher ist mein Freund.,positive
1,Sie genoß daßelbe mit noch einer kleinen geselschaftt unter einem unaussprechlich seligen gefühl und Nahe sein unsers geliebten Freundes unter einer Aparten gefühligen Heimgangs Liturgie unsers lieben Bruder {NAME}.,positive
5,"ich konnte aber genugsam abnehmen, daß nimmermehr an ihre Einwilligung würde zu dencken seyn, mich zur Gemeine gehen zu laßen, ohne sie, die ich doch wie mein Leben liebte, auf das äußerste zu betrüben.",positive
28,"Es ist mir unmöglich die Seligkeit meines Herzens, die ich dabey fühlte zu beschreiben.",positive
20,"vor Ostern ging ich noch mit etlichen 14 dag zu ihn in das Exsamn, nach der daMahlichen art: und zu Ostern das Erste Mal mit zum heiligen AbendMahl.",neutral
13,"Mein von Natur geschäftiger Geist wolte aber immer noch selbst wircksam seyn, und ich trat dadurch der Gnade des Heilands an meinem Herzen immer mehr und mehr in den Weg, bis ich mich am Aeltestenfest bey der Rede des Bruder {NAME}s so getroffen fühlte, daß ich ein jedes Wort wie alleine auf mich geredet deuten konte, und da sich die Gemeine die Absolution von unserm Aeltesten erbat, übergab ich Ihm mein armes Herz so wie es war und bat Ihn nun mit mir zu thun was Ihm beliebet, von mir zu nehmen was Ihn betrübet.",negative
23,ich sagte ein Sachse!,neutral
37,"Am 22tn Sept. desselben Jahres, traten wir, unsrer Bestimmung zu folge, unsre Reise von Bethlehem zur Bedienung der Indianer-Gemeine in Scheschequanink an der Susquehanna an.",neutral
19,Ich antwortete: Ja!,positive
3,"es kam mir vor, als ob das alles nicht wahr wäre.",neutral
26,"Es war Sonnabend, ich war allein zu Hause, als mir dieses gesagt wurde.",neutral
34,"Ja! geliebte Magd des HErrn, die von uns geschieden sah man dich gleich herzlich gern, noch bey uns hienieden gönnt man dir, die sanfte Ruh, doch an Jesu Wunden worinn hier schon immer zu, dein Herz hat Ruh gefunden",positive
32,"Ihre vorzügliche Gabe u. Geduld mit der Jugend umzugehen; ihre willigkeit, andern zu dienen ohne rücksicht auf sich selbst; Ihr zärtlicher Umgang mit dem Freund ihrer Seelen, leuchtete hervor aus ihrem ganzen Handel u. Wandel;",positive
9,"Wir sind wegen des grossen Schnees nicht in Emmaus gewesen, seitdem Bruder {NAME} da ist.",neutral
10,"Da vergieng mir die Lust zur Eitelkeit, ich lies alles stehen und liegen und ergözte mich an Ihm.",neutral
37,Unser l. HErr bekannte sich freundl. <in Gnaden> zu dieser unsrer Verbindung;,positive
33,"es schien mir ganz onmöglich zu seyn, mich dazu zu resolviren",negative
26,"Im folgenden Jahr wurden wir wieder von hier abgerufen, und zwar unter die Indianer in Langentoutenunk an der Ohio zu den Brüdern {NAME} und {NAME}.",neutral
20,"dan gingen meine Bekleiter wieder zurücke,",neutral
36,"d. 30 Aug 1750 wurde ich in die Gemeine aufgenommen, und 1751 d. 31ten Aug hatte ich die Gnade zum erstenmal mit der Gemeine zum h. Abendmahl zu gehen, bey welcher /// Gelegenheit ich mich dem l. Heiland wieder ganz aufs neue mit Leib und Seele hingab.",positive
10,(ao 44. im Feste und October giengen wir auf einen Besuch der erweckten Leute an die Branch,neutral
32,o wie wohl war mir! u. wie innig Nahe war Er meinem Herzen! ,positive
33,"wie mir da zu Muthe gewesen erst meine l. Eltern auf solche Art zu verliehren u mich unter den Wilden unbendigen Indianern zu sehn läßt sich /// nicht beschreiben,",negative
26,"Da ich aber alles Schelten mit Gleichgültigkeit anhören konnte, so erregte dieses nur noch mehr Bitterkeit.",negative
10,"den 21ten August traten wir unsre Reise über Hhaag, Holland und England nach Pensilvanien an und kamen den 6ten December in unseren lieben Bethlehem an",positive
0,"Vor etlichen Tagen wurde er merklich schwächer, bezeugte auch etlichen Brüdern, daß er glaube, er werde bald heimgehen, welches er sehnlich wünschte.",negative
33,meine Mutter u wir Kinder sprangen zur hinter Thüre naus,neutral
3,1746 wurde ich zum Nagelschmidt gethan und in demselben Jahr am Knabenfest den 27ten April ins Knabenchor aufgenommen.,neutral
11,"Er war zugleich auch ein treuer Saaldiener und Mitglied der Committee, besorgte auch das Gräber machen auf dem Gottes Acker, kurz, es war ihm keine Arbeit und Geschäfte zu gering und mühsam, und ließ sich das Wohlseyn der Gemeine und seines Chors von Herzen anliegen, und nahm an deren Freude und Leid von Herzen Antheil.",positive
34,"Durch mein Bleiben zog ich meiner Tante großen Unwillen zu, weil sie mich zärtlich liebte und zu ihrer Erbin destinirt hatte; Allein es war mir alles feil, und der Heiland machte mich von allen meinen Bluts-Freunden los.",negative
1,"den 14.ten war Sie sehr schwach, aber ungemein vergnügt,",positive
28,"Ich {NAME} der Mohr, bin in Ibo Eboe land, in dem unbekannten Teil von Africa geboren u. wurde nach dem Gebrauch meiner Nation, da ich 8. tage alt war, beschnitten.",neutral
18,Im Innern und Außern war sie mir zu wahren Trost.,positive
34,"In ihrer ganzen langen Kranckheit war sie sehr gedultig hatte einen beständigen Umgang mit dem Heiland, und betete fleißig für die Gemeine.",positive
10,"Den 20ten September 56 wurde er Witwer und war seitdem ein rechter Einsamer,",negative
3,"Endlich brachte es mein Vater dahin, daß ich eingezogen und fromm wurde.",positive
5,"Er schencke uns Gnade Ihrem Beyspiel nachzufolgen, bis wir auch vollendet sind.",neutral
9,"Ich las einmal in {NAME}s wahrem Christenthum vom Fall Adams und Christi Leiden, Tod und Wunden.",negative
37,"Die ehedem ihrer Pflege empfohlen gewesenen Schwestern daselbst freuten sich gar sehr, sie wieder zu sehen, u. eine Zeitlang ihres angenehmen u. erbaulichen Umganges zu genießen. ///",positive
15,"Da 1741 die Gemeine in PIlgerruh emigrirte so kam die sel. Schwester im früh Jahr mit nach dem Hhaag wo sie den 5ten August desselben Jahres mit ihrem seligen Manne {NAME} (nebst anderen 13. Personen) zur H. Ehe verbunden wurde, die alle nach Pensilvanien destinirt waren,",neutral
8,"Indeßen sagte er seine Studia mit aller Treue fort, frequentirte fleißig die Collegia, wurde aber einmal in das Professor {NAME}s Collegio, als er den Artikel von der Erb-Sünde tractirte te, so getroffen, daßer, aus Verlegenheit über sich selbst, sich das Weinens nicht enthalten konnte; von da an rechnete er seine Erwolung.",negative
26,So weit der selige Bruder selbst.,neutral
7,"Ich bin geboren 1719. den 28ten Januar zu Langensalza in Thüringen; woselbst mein Vater Bürger und Knopfmacher war, der aber in 2 Jahren nemlich anno 1721. aus der Zeit ging, und meine Mutter heyrathete anno 1723. zum andernmal.",neutral
11,"Anno 1730 erschien mir der Heiland zum erstenmal, und zwar im Traum, und sagte mir: Ich müßte jezt sterben, und in die Ewigkeit übergehen,",negative
39,"Hier fand mein Mann wieder was er wünschte, nemlich eine große Schule.",positive
33,"ich grigte ofte von meiner alten Mutter erlaubniß nach dem Fort zu gehn, den sie dachten weill ich ein Kind hätte so würde ich nicht davon laufen, ich sahe mich aber imer nach gelegenheit um um fort zu kommen,",positive
23,"Ich warte auf Ihn, Er mag mich holen, wenn Er will.",neutral
32,Von da an blieben mir die Chor Abendmahle immer besonders schätzbar.,positive
21,"1749 d. 6ten May kam er mit Bruder {NAME} u. andern von Barbice nach Bethlehem, wurde hier d. 12ten Janr 1750. in die Gemeine aufgenommen u. dasselbe Jahr auch zum H. Amahl admittirt;",neutral
9,"Er hatte mehrmalen von seiner bevorstehenden seligen Vollendung geredet, und wie er derselben mit Freuden entgegen sehe.",positive
8,"Hier wurde er endl. mit einigen Brudern bekannt, fieng fing auch an, ihre Predigten fleißig zu besuchen, da ihm denn gelegentl. einmal ein Br. von Bethlehem, der just zum Besuch da war, vieles von Bethlehem erzehlte erzählte, u. dß die Brr. eine Orgel brauchten für den Saal in Naz. Hall.",positive
27,Nachdem ging ich einen seligen Gang von Gnad in Gnad in der Gemeine fort.,positive
7,"Im October kam ich nach Christiansbrunn als Bruder {NAME}s Gehülfe beym Helfer-Amt des ledigen Brüder Chores; und da das in dem neuen Gemein-Ort Nazareth erbaute ledige Brüder Chorhaus fertig war, bezog ich daselbe den 18. May. 1774 mit 20 Brüdern und Knaben als Chorhelfer derselben.",neutral
26,"Mein Vater hatte gezweifelt, daß er mich ans Land bringen würde. Mir war es aber ausgemacht, daß ich am Leben bleiben würde.",positive
4,"Dahero wünschten wir, daß sie vorher möchte ins Seiten Höhlgen des Lammes getauft werden mit dem Blut und Waßer im Sacrament, und Bruder {NAME} ging noch denselben Tag hin nach Nazareth, mit {NAME} Ind. und hätte sie gern getauft, fande sie aber ohne allen Verstand, so daß sie nichts hören und sehen kunte, und ihr Mann schien auch nicht geneigt davor, dahero unterbliebs.",negative
4,"Er bat wir möchten uns der ganzen Sache annehmen, welches wir ihm denn versprachen, und bestellten alles;",positive
26,"Nun zeigte sich, daß dieser Mann um seine Seligkeit verlegen war, und schon vieles versucht hatte, aber zu keiner Ruhe des Herzens hatte gelangen können.",negative
1,"den 17.ten Als am Abendmahls Tag war Sie sehr Schwach, aber voller freuden, glaubte dießes wird der lezte Tag sein,",positive
5,"Anno 1750 verlor das Mädgenhaus die liebe ich war sehr einfältig und grade mit allem was mir zu der Zeit klar wurde und was ich zusammen bringen konnte mich selbst anzuklagen., die diese Anstalt einige Jahre vorgestanden hatte, und ich kam an ihre Stelle, nachdem ich 1748 zur Acoluthie angenommen und zu einer Diaconisse der Brüder Kirche war eingesegnet worden.",neutral
3,"dieses war mir etwas sehr unerwartetes und ich konnte es vor Freuden kaum glauben, doch da er es mich versicherte, so dankte ich sogleich dem lieben Heiland herzlich dafür.",positive
21,"es stund ihm aber nicht an sich damit zu nähren u. gieng deswegen nach Holland mit dem Sinn nach Ost-Indien zu reisen,",negative
33,sie verlohr auch allen appetit zum Eßen so daß sie 4 Wochen fast nichts zu sich nahm als Brod u Wasser,negative
11,"Wir können dem seligen Bruder mit Wahrheit das Zeugniß geben, daß er ein in dem Mann der Schmerzen zärtlich verliebt und anhängliches Herze war, und in dem nahen Umgang mit Ihm seine Zeit seliglich zu verbringen wuste;",positive
19,"Er war auch so gnädig und versicherte mich der Vergebung und daß Er mich als ein verlorenes Schaf zu Gnaden angenommen habe, welches mein geängstetes Herz mit Trost und Freude erfüllte.",positive
33,"so bald die Cur vorbey war, gab ich mein Kind in die Norserie, und ich zog nach Nazareth. zu den Witwen,",neutral
14,"Den 29ten deßelben Monats kamen wir in Philadelphia an, wo ich bald bei Herrn {NAME}, Buchdrucker daselbst, zu arbeiten anfing",neutral
20,"nach dem That mich die Herrschaft auch aus Straffe in ein Wirtshauß um mich auf einen andern Sin zu bringen, aber Sie konden das doch dadurch nicht zu Wege bringen ob sie gleich mich bei der Kirmeß zum tanzen zwangen",negative
26,er wurde zu unserer Verwunderung gleich froh und heiter.,positive
5,"""Die arme Sündern {NAME} möchte lieber von ihrem Lebenslauf nichts sagen, (denn von außen ist er auch nicht merckwürdig) sondern lieber weinen bey Jesu Füßen.",negative
36,"Es war ihr die größte Gnade im Chorhauße zu wohnen, und die schönen Gottes-Dienste mit der Gemeine und ihrem Chore zu genießen, welche sie auch nie ohne die größte Noth versäumte.",positive
3,"Ich ging nach Hause,",neutral
34,"Es ging mir aber sehr schwer ein /// mich so sündig zu fühlen und zu erkennen, da ich schon so viel Gnade an meinem Herzen erfahren hatte; allein es wurde mir klar, daß ich alle Tage so arm und elend zum Heiland kommen müßte, wie das erstemal, da Er mir meine Sünden vergeben und angenommen hatte.",negative
23,ich habe oft mit ihm im geiste gegessen und getrunken.,neutral
33,"sie versprachen es mir auch,",positive
38,Und so gab diese Magd Jesu ihren Geist auf in Jesu Hände; Ihres Alters 63 Jahr 11 Monat u. 13 Tage.,neutral
6,"1760 erhielt er einen Ruf nach Antigoa, wo ihn Br. {NAME} bald nachher wieder mit sich nach Bethlehem nahm.",neutral
9,"Er blieb als Witwer in Heidelberg bis 1779 im October, da er nach Bethlehem zum Ausruhen kam.",neutral
26,"wir reisten sodann nach Bethlehem, wo ich meinen Schwiegervater {NAME} in der Drechsler-Profession unterstützte.",neutral
26,Mit Erstaunen konnte man die Arbeit des heiligen Geistes an ihren Herzen wahrnehmen.,positive
5,"O ihr himmlischen Momente, alle menschliche Vergleiche reichen nicht an Euch!",positive
